condsFile,readyMsg,stimFile,corrAns,bildFil,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_14.keys,key_resp_14.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,participant,session,date,expName,frameRate,
,,,,,,,,,,,,,,,,,space,11.395979206979973,,,,,,,,,,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,,,,,,,,,,,,,,,,,space,40.80786681099562,,,,,,,,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
,,,,,,,,,,,,,,,,,,,,,space,11.963006258010864,,,,,,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. pear 2. toast 3. TV screen,1,,0,0,0,0,0,0,0,5,,,,,,,,,,,space,14.565466297004605,1,1,12.747410773008596,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. pear 2. drum 3. violin,2,,0,0,0,0,0,1,1,14,,,,,,,,,,,,,2,1,6.050353012018604,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. hourglass 2. button 3. wall clock,1,,0,0,0,0,0,2,2,21,,,,,,,,,,,,,1,1,5.648616611986654,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. bowling ball 2. pear 3. orange,2,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,2,1,3.0102703479933552,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. wall clock 2. pizza pie 3. coconut,3,,0,0,0,0,0,4,4,10,,,,,,,,,,,,,3,1,19.379138189018704,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. comb 2. hairspray 3. soda can,1,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,1,1,10.34083259300678,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. paintbrush 2. flute 3. violin,3,,0,0,0,0,0,6,6,17,,,,,,,,,,,,,3,1,22.96885008199024,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. hourglass 2. piano 3. violin,2,,0,0,0,0,0,7,7,22,,,,,,,,,,,,,2,1,6.583974143024534,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. cucumber slice 2. wall clock 3. TV screen,3,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,3,1,3.7269709300016984,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. apple 2. tennis racket 3. soccerball,2,,0,0,0,0,0,9,9,19,,,,,,,,,,,,,2,1,5.248506517003989,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. paint can 2. paintbrush 3. banana,1,,0,0,0,0,0,10,10,16,,,,,,,,,,,,,3,0,71.77426717200433,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. tennis racket 2. apple 3. bowling ball,1,,0,0,0,0,0,11,11,1,,,,,,,,,,,,,1,1,3.2443021750077605,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. flute 2. paint can 3. drum,1,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,3,0,5.381759147014236,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. button 2. cucumber slice 3. toast,3,,0,0,0,0,0,13,13,3,,,,,,,,,,,,,3,1,2.2751645089883823,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. flashlight 2. cake 3. banana,2,,0,0,0,0,0,14,14,9,,,,,,,,,,,,,2,1,5.163806789001683,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. flute 2. banana 3. apple,3,,0,0,0,0,0,15,15,18,,,,,,,,,,,,,3,1,13.717175878991839,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
