stimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
Kasta,0,0,0,2,right,9.46004199982,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Rita,0,1,1,1,right,1.74276781082,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Skära (med kniv),0,2,2,5,right,1.64142203331,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Använda en sked,0,3,3,6,h,3.58056497574,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Borsta tänderna,0,4,4,4,h,2.14401698112,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Sopa (övre hand),0,5,5,7,right,5.19922280312,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Skriva,0,6,6,0,right,1.15763688087,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Tända en tändsticka (håller i tändstickan),0,7,7,8,right,3.40795898438,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Klippa,0,8,8,3,h,2.49465608597,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
Öppna en låda (tar av locket),0,9,9,9,h,9.69220209122,2020_Oct_09_0859,59.89817762221185,handedness,001,998,
